,RealPC1_rollstd_d1
2020-08-17,0.027796620780999978
2020-08-18,0.03133265186726364
2020-08-19,0.03133201859256903
2020-08-20,0.030798896962699638
2020-08-21,0.031091612991387296
2020-08-24,0.031025378145254676
2020-08-25,0.03148162797821131
2020-08-26,0.03173526077730548
2020-08-27,0.03261427119648058
2020-08-28,0.03252464794822632
2020-08-31,0.03255343542316118
2020-09-01,0.032491934763040964
2020-09-02,0.0323106631219087
2020-09-03,0.032729265854698854
2020-09-04,0.030731114723813405
2020-09-08,0.03183926938841127
2020-09-09,0.03177652514976123
2020-09-10,0.031982426398873755
2020-09-11,0.03226628583600465
2020-09-14,0.03213842393979039
2020-09-15,0.032147237548779996
2020-09-16,0.03394559805988107
2020-09-17,0.031439746912029755
2020-09-18,0.038727716411679845
2020-09-21,0.03899649945726034
2020-09-22,0.03921972935848
2020-09-23,0.03739692791277676
2020-09-24,0.03700460888647926
2020-09-25,0.03707070389043739
2020-09-28,0.03781842924544941
2020-09-29,0.04017538391607951
2020-09-30,0.042018783274123894
2020-10-01,0.04186975337701295
2020-10-02,0.041964256938468336
2020-10-05,0.0449682270803632
2020-10-06,0.041210897806798596
2020-10-07,0.04120076914109678
2020-10-08,0.04262287108684047
2020-10-09,0.043288063527325726
2020-10-13,0.043885173546463006
2020-10-14,0.04386962517777605
2020-10-15,0.04817642967715709
2020-10-16,0.048613715462900234
2020-10-19,0.04944591260812163
2020-10-20,0.04597727130030361
2020-10-21,0.05097200525547569
2020-10-22,0.05084123571402812
2020-10-23,0.05082558581186385
2020-10-26,0.05084760220609465
2020-10-27,0.050793825301536456
2020-10-28,0.0509090570259124
2020-10-29,0.04926486897494746
2020-10-30,0.04829194481998066
2020-11-03,0.04819127661453077
2020-11-04,0.04895819074546858
2020-11-05,0.04634108727241463
2020-11-06,0.04646642426620336
2020-11-09,0.04793522705288102
2020-11-10,0.04702283599164468
2020-11-11,0.04628780952073335
2020-11-12,0.043238755030538985
2020-11-13,0.04251274833303413
2020-11-16,0.0339374050306947
2020-11-17,0.03420131963968578
2020-11-18,0.03300245560556056
2020-11-19,0.0336421582574009
2020-11-20,0.028381053411434497
2020-11-23,0.028503099049743078
2020-11-24,0.0359053337306815
2020-11-25,0.03757701753345242
2020-11-26,0.03771111235647066
2020-11-27,0.03615582918975131
2020-11-30,0.03595843782029736
2020-12-01,0.03368170679217284
2020-12-02,0.03365541096915087
2020-12-03,0.034459910580828805
2020-12-04,0.03430423103087911
2020-12-07,0.034324593886520385
2020-12-08,0.033545292924301466
2020-12-09,0.035314398348739465
2020-12-10,0.04058629338688819
2020-12-11,0.2576984790700062
2020-12-14,0.2574156742654081
2020-12-15,0.25695778484398474
2020-12-16,0.25689904122690954
2020-12-17,0.25696540429914144
2020-12-18,0.25626857196873165
2020-12-21,0.2561585664992105
2020-12-22,0.25617568111804506
2020-12-23,0.2540149266615748
2020-12-24,0.25429405568499824
2020-12-28,0.2538182821596929
2020-12-29,0.2533015074905162
2020-12-30,0.2534441185443995
2020-12-31,0.25259464009589183
2021-01-04,0.2528236203545633
2021-01-05,0.2529510925952891
2021-01-06,0.25283397410422553
2021-01-07,0.25253061622794254
2021-01-08,0.2515239830003629
2021-01-11,0.25150904009979685
2021-01-12,0.25217596832558586
2021-01-13,0.02579805294924023
2021-01-14,0.026198658047216192
2021-01-15,0.026314827408527437
2021-01-18,0.026604076304296096
2021-01-19,0.026601636957692836
2021-01-20,0.026643123059606314
2021-01-21,0.02634920669713773
2021-01-22,0.03132284230633275
2021-01-25,0.030928079392083613
2021-01-26,0.030991951035813828
2021-01-27,0.031061855625313217
2021-01-28,0.0325985812269782
2021-01-29,0.032375139170457354
2021-02-01,0.034863374984620166
2021-02-02,0.03588002147924304
2021-02-03,0.036751009778355395
2021-02-04,0.03664235159783199
2021-02-05,0.03635906897867082
2021-02-08,0.03640583714687646
2021-02-09,0.03001758948890413
2021-02-10,0.02994448017696855
2021-02-11,0.028040195746227986
2021-02-12,0.02796733381455527
2021-02-17,0.027814336185718262
2021-02-18,0.028082988531784127
2021-02-19,0.028100602143599596
2021-02-22,0.027752997417834057
2021-02-23,0.038615361117953204
2021-02-24,0.033912840169970086
2021-02-25,0.03500289085625813
2021-02-26,0.047878540707549336
2021-03-01,0.05032533407868911
2021-03-02,0.0491646815777027
2021-03-03,0.04915436358573403
2021-03-04,0.05552747241623332
2021-03-05,0.06592804410340958
2021-03-08,0.06547190910960264
2021-03-09,0.06546150698287065
2021-03-10,0.0666012867406042
2021-03-11,0.06622704806762653
2021-03-12,0.06616808978300168
2021-03-15,0.06636208934470458
2021-03-16,0.06610307634518721
2021-03-17,0.06632159057151624
2021-03-18,0.0663273899189556
2021-03-19,0.06805265707569046
2021-03-22,0.06801570689182838
2021-03-23,0.07237898103242908
2021-03-24,0.06925645035524557
2021-03-25,0.0691272119249285
2021-03-26,0.06916369255701238
2021-03-29,0.06282837817068636
2021-03-30,0.06141604560084423
2021-03-31,0.06110627287968145
2021-04-01,0.06520165066231
2021-04-05,0.058995425631594677
2021-04-06,0.04446922351648354
2021-04-07,0.045055021123205426
2021-04-08,0.04489617184719628
2021-04-09,0.044530336354904505
2021-04-12,0.04695625239584268
2021-04-13,0.046949043830545586
2021-04-14,0.04728658595801626
2021-04-15,0.047849121802098236
2021-04-16,0.04988998532157905
2021-04-19,0.05537127567087881
2021-04-20,0.0528339059084439
2021-04-22,0.05280971411408309
2021-04-23,0.046844203675388225
2021-04-26,0.04614342315094367
2021-04-27,0.046139936494630225
2021-04-28,0.04623544277287479
2021-04-29,0.044923887842976226
2021-04-30,0.04414945873154812
2021-05-03,0.044243545359657514
2021-05-04,0.04158411376191409
2021-05-05,0.04202466650887091
2021-05-06,0.04393761629685117
2021-05-07,0.041920347389689035
