,InflPC1_rollstd_d1,InflPC2_rollstd_d1
2014-11-25,0.02589823993061903,0.00856717466381815
2014-11-26,0.02580884129996804,0.008669052130762203
2014-11-27,0.025839035920084463,0.008565057866577968
2014-11-28,0.02571076653631269,0.00901233919568653
2014-12-01,0.02570265429173004,0.008164723241862437
2014-12-02,0.025465478848650264,0.008070471675315573
2014-12-03,0.02516912533768023,0.005099467317460914
2014-12-04,0.025170475392457998,0.005089418175530622
2014-12-05,0.025154581954349442,0.004725404494009215
2014-12-08,0.024972292012680652,0.0045792521339776335
2014-12-09,0.02628969152315193,0.005952594105096595
2014-12-10,0.026291058453033624,0.005947366981103643
2014-12-11,0.028259903442263767,0.007670162361911994
2014-12-12,0.02834697834251137,0.007948880149734855
2014-12-15,0.02831493376464863,0.008628589431087333
2014-12-16,0.028249627864119664,0.00864189406894797
2014-12-17,0.014003747659650012,0.008411914595465001
2014-12-18,0.01414472941218801,0.008778154416537114
2014-12-19,0.014119367808023552,0.00878595243533607
2014-12-22,0.014324971062326192,0.008922674439021947
2014-12-23,0.014262348047109031,0.008936880462178488
2014-12-24,0.014262468375941193,0.008931221049180621
2014-12-26,0.014244606620786707,0.008899880675932415
2014-12-29,0.014236863892170453,0.009497894100541615
2014-12-30,0.014088400040945585,0.009273009109286075
2014-12-31,0.014087988580999591,0.009159095039324687
2015-01-02,0.014090224572056465,0.009272616745584931
2015-01-05,0.014105763224818664,0.009459512057749576
2015-01-06,0.014105951952101778,0.009515579051635123
2015-01-07,0.014143945026224536,0.009463638772274281
2015-01-08,0.014249348925405868,0.009710272621722565
2015-01-09,0.010172281668485673,0.008741392791175237
2015-01-12,0.010516084361923767,0.009097894318432062
2015-01-13,0.005477587821768153,0.008612242858479257
2015-01-14,0.005238721853171784,0.008384829389232075
2015-01-15,0.0052112251436768455,0.007924654209821235
2015-01-16,0.005999718683447926,0.009965411766915473
2015-01-19,0.016778851700506355,0.014932652808524554
2015-01-20,0.017457141090512114,0.015993438894230775
2015-01-21,0.0177340857287675,0.016069992512781153
2015-01-22,0.023740461706913754,0.0324506468105803
2015-01-23,0.02372087300324408,0.03236396402811233
2015-01-26,0.023854256435973716,0.032565148572605784
2015-01-27,0.02383870186169781,0.03268102009678073
2015-01-28,0.02386311712663157,0.03291452214458851
2015-01-29,0.023884821149316362,0.03310938703599926
2015-01-30,0.028966134073370533,0.03589979366319666
2015-02-02,0.03002072469618452,0.038151871520786106
2015-02-03,0.030003344069552327,0.03792091666187911
2015-02-04,0.03144096903249408,0.038042347166618806
2015-02-05,0.03142731519111201,0.03794330434089776
2015-02-06,0.033093146459180246,0.045523318916092924
2015-02-09,0.0378899493986961,0.04678311798179433
2015-02-10,0.03767477876384808,0.04725409801515128
2015-02-11,0.03774360385677309,0.046789642370832815
2015-02-12,0.03838200329976689,0.0462641525786423
2015-02-13,0.03857382121945854,0.046156102576814684
2015-02-18,0.038280116957251184,0.04649259426462141
2015-02-19,0.038064502565248244,0.04698167574850027
2015-02-20,0.037683300781064466,0.047617612544679
2015-02-23,0.041731214176363406,0.051991237820200716
2015-02-24,0.03764114068322566,0.04548541050031349
2015-02-25,0.03756525291665414,0.04571056767099162
2015-02-26,0.03760685988328461,0.04565314159258538
2015-02-27,0.03760063609552642,0.04570286960777236
2015-03-02,0.03759984636568192,0.0455962181395791
2015-03-03,0.03759330448878336,0.045647505778125354
2015-03-04,0.03494532572865039,0.043773351348716016
2015-03-05,0.03360184056533957,0.04168422795787324
2015-03-06,0.04281196345177697,0.05160950246994553
2015-03-09,0.04209590360849283,0.05152467000880881
2015-03-10,0.042145080728481256,0.05161589815614512
2015-03-11,0.041386820665580464,0.04539332222126821
2015-03-12,0.036373272006225144,0.043558553588580094
2015-03-13,0.041071384872652855,0.04437829364831664
2015-03-16,0.04213855689873209,0.04509541727393288
2015-03-17,0.04206640314479449,0.04525417131478344
2015-03-18,0.04330439106794343,0.04553031628468838
2015-03-19,0.04375318639059899,0.04607673453050048
2015-03-20,0.04210511556475047,0.045659944609887676
2015-03-23,0.04451514803515537,0.04501393202932173
2015-03-24,0.039598002620252384,0.03970791398014304
2015-03-25,0.04156139254681065,0.03965288559396266
2015-03-26,0.041546021398678766,0.039527016770475126
2015-03-27,0.04155400805940144,0.039570613174509994
2015-03-30,0.04155094948051486,0.03940029974047253
2015-03-31,0.04153210282971145,0.039310323705064106
2015-04-01,0.041515886076554605,0.039184620154413985
2015-04-02,0.04152119027169621,0.039356785784845125
2015-04-06,0.04179154817711657,0.04003978985818112
2015-04-07,0.03332119786572922,0.023174895693168038
2015-04-08,0.03325529740554254,0.024693844349807127
2015-04-09,0.03312633186055061,0.024708777595144393
2015-04-10,0.032489181342476886,0.02464974399097152
2015-04-13,0.03156007343855734,0.024723266869033932
2015-04-14,0.021822297460200948,0.02383365295012314
2015-04-15,0.021222392617466435,0.02050906230949698
2015-04-16,0.02161949548474796,0.020670190566072846
2015-04-17,0.02058545903913927,0.018786052176186778
2015-04-20,0.01824102195147561,0.01435657919694975
2015-04-22,0.01782700907115372,0.014489992790773008
2015-04-23,0.013154434197169091,0.012992391811699195
2015-04-24,0.013207313960748944,0.012999974922128208
2015-04-27,0.008574871311469915,0.012161392709541849
2015-04-28,0.008558882872500147,0.012140097784768255
2015-04-29,0.008558099228099417,0.012140441859468325
2015-04-30,0.008590386605624303,0.012065188699294667
2015-05-04,0.009219367036265615,0.012597756065492273
2015-05-05,0.009136631351522146,0.012490936176315765
2015-05-06,0.009119569783490431,0.012466279997201492
2015-05-07,0.012414108553119944,0.012069345227180643
2015-05-08,0.012692110969692662,0.012202809122389907
2015-05-11,0.012297652065651817,0.010486744865663334
2015-05-12,0.012202549422784145,0.010419599822687557
2015-05-13,0.012138207635653632,0.009658400348326247
2015-05-14,0.012163356437897758,0.009661874769379542
2015-05-15,0.013276384039305601,0.012064087174857347
2015-05-18,0.0153536944605624,0.012955140882502394
2015-05-19,0.015607356382036856,0.013642397751193967
2015-05-20,0.015170397049384008,0.013319175825772793
2015-05-21,0.01587113933835884,0.013394390079932993
2015-05-22,0.015948485013074564,0.01325158778158805
2015-05-25,0.015707573981782335,0.013437798810644948
2015-05-26,0.015562872831778077,0.01346690055193888
2015-05-27,0.015639647215958657,0.012719937436814635
2015-05-28,0.0157127876289125,0.012759031358036365
2015-05-29,0.024003204460155886,0.016659578454821713
2015-06-01,0.023721852187776782,0.01692333030100064
2015-06-02,0.023936844247297546,0.015679804587320833
2015-06-03,0.024205991199496693,0.01559849348583324
2015-06-05,0.02558644670208557,0.016830096157234138
2015-06-08,0.02481225502300085,0.017365107518057494
2015-06-09,0.025035270244893607,0.01740463558377767
2015-06-10,0.028158785579959756,0.024778203983288862
2015-06-11,0.029505758165040485,0.024672706083063097
2015-06-12,0.03190126849135638,0.02750475071040245
2015-06-15,0.03298097367071236,0.027163864420273364
2015-06-16,0.032890061872653815,0.027378485911737707
2015-06-17,0.03231081115085572,0.027692070211832533
2015-06-18,0.03188633659342769,0.030569416544975074
2015-06-19,0.03212049824527801,0.030368274709455398
2015-06-22,0.0317598643879443,0.031099767654973468
2015-06-23,0.03173268425136756,0.03086139318544714
2015-06-24,0.03175156486241932,0.03034266696521858
2015-06-25,0.03164796094028672,0.030208700863870796
2015-06-26,0.031672348806527556,0.030117783329079918
2015-06-29,0.03143779664249434,0.031246197203499703
2015-06-30,0.025833943392137088,0.030334378131380416
2015-07-01,0.02591556659530859,0.03004691428057052
2015-07-02,0.025882032872692414,0.030091300828865717
2015-07-03,0.02618078904368989,0.030703095503884958
2015-07-06,0.024244722039861725,0.031049385043487854
2015-07-07,0.02426972973940826,0.030709060334980203
2015-07-08,0.024430440709580295,0.030644098908954608
2015-07-09,0.02109830249645858,0.025167392742374887
2015-07-10,0.01915074020450663,0.024928049000707626
2015-07-13,0.02862056844835963,0.022265498675219726
2015-07-14,0.03741794602069274,0.027085443618290336
2015-07-15,0.03838097706570869,0.027404025210669043
2015-07-16,0.03971343611477142,0.028319423625048825
2015-07-17,0.04557410919225126,0.024735404685538042
2015-07-20,0.045418874604320904,0.024425342767455876
2015-07-21,0.053793045286488386,0.026263591403220803
2015-07-22,0.05372765097062672,0.026174592574099844
2015-07-23,0.05367928421243904,0.025972191357004175
2015-07-24,0.05367207615908023,0.025944770282184847
2015-07-27,0.05369200821682241,0.026053882498264434
2015-07-28,0.05361582659328608,0.025790463840289386
2015-07-29,0.05358647623420141,0.025726644442373908
2015-07-30,0.053574152542626416,0.025707671390858933
2015-07-31,0.05357085555875299,0.025697279463211965
2015-08-03,0.0551069444007326,0.02583707829903862
2015-08-04,0.05599393078699862,0.025636563090098926
2015-08-05,0.056119337457592094,0.025881590377823494
2015-08-06,0.05607956917852874,0.025402619946020794
2015-08-07,0.05609913343601848,0.025683626461336276
2015-08-10,0.05656454527743585,0.02728567603534736
2015-08-11,0.049924139296494405,0.02447041417677932
2015-08-12,0.043995846356749156,0.02162201460816235
2015-08-13,0.043984310421346665,0.02099751377882365
2015-08-14,0.04380797042711574,0.020452818001537282
2015-08-17,0.0375472889864746,0.017839694875438784
2015-08-18,0.037047390129583004,0.01786710533170529
2015-08-19,0.02482554175715584,0.01494625751341393
2015-08-20,0.0273568725327397,0.016255542265099513
2015-08-21,0.02928351447140297,0.016682947728266503
2015-08-24,0.02936044164034885,0.017278362813731924
2015-08-25,0.029353490822982563,0.017008575188656196
2015-08-26,0.03133759247948415,0.017961627228819648
2015-08-27,0.03133661290667128,0.017961256498463137
2015-08-28,0.03140286090237828,0.01796212778012665
2015-08-31,0.03148251018371355,0.01831019634380011
2015-09-01,0.02782277872431654,0.018021688854313506
2015-09-02,0.027481701498198754,0.01883427195871128
2015-09-03,0.027275517646543134,0.018448844575607495
2015-09-04,0.04824195411340885,0.020268995249246424
2015-09-08,0.04810790515235168,0.019726874467183155
2015-09-09,0.047815897633216566,0.017878344095976138
2015-09-10,0.04784180482926292,0.017876149639080165
2015-09-11,0.04757982662641873,0.015513695828374575
2015-09-14,0.04630222210439593,0.015497029591841084
2015-09-15,0.04469222898105979,0.014764004871843468
2015-09-16,0.044679193583115,0.014744043018463713
2015-09-17,0.04464952917979993,0.014788665190402712
2015-09-18,0.046055720149356744,0.014760594263396784
2015-09-21,0.05560477184300939,0.01479120190068832
2015-09-22,0.05343173472179157,0.01541146455568178
2015-09-23,0.0529867041734465,0.014859662068657402
2015-09-24,0.05480943575462093,0.01731978721725141
2015-09-25,0.05486275462876538,0.016505958382487713
2015-09-28,0.05509917724486989,0.016537454999738396
2015-09-29,0.05521763967335537,0.016515659466389446
2015-09-30,0.05716476707785777,0.018240762269031374
2015-10-01,0.05740198936284723,0.018242090547745626
2015-10-02,0.055471921738905035,0.017807992254427984
2015-10-05,0.058267965488121264,0.022947850815299816
2015-10-06,0.04765183073230239,0.02130372728334227
2015-10-07,0.04748401322120805,0.021570744766937447
2015-10-08,0.04809954805914727,0.021506598451944827
2015-10-09,0.051508854690832676,0.02239729264068847
2015-10-13,0.05140931222340441,0.02258048622988325
2015-10-14,0.05134298824795739,0.02257698645892263
2015-10-15,0.051451131750648624,0.022534608951072767
2015-10-16,0.05122121732374476,0.02266199076562798
2015-10-19,0.05417296856642479,0.02365527009394584
2015-10-20,0.056126236200754666,0.02420864219264775
2015-10-21,0.04832615479900336,0.023785989459829758
2015-10-22,0.04857701077740806,0.023098474611190734
2015-10-23,0.05172178807995238,0.03127895857836584
2015-10-26,0.0497356217443141,0.03163275306874251
2015-10-27,0.04973604260598897,0.03162981891529881
2015-10-28,0.049451467611451805,0.03164756891989605
2015-10-29,0.049139568494927954,0.032538079728128874
2015-10-30,0.04562628356824038,0.0313269555398477
2015-11-03,0.04598360359483328,0.031330484245644996
2015-11-04,0.04628710939285169,0.03108934667080877
2015-11-05,0.04224814688655267,0.03355637036812279
2015-11-06,0.04463183112868655,0.03418360795249551
2015-11-09,0.04511299572073124,0.03399477681213231
2015-11-10,0.04471395761048846,0.03401348693239473
2015-11-11,0.03967816450082342,0.033358057331429714
2015-11-12,0.03982692822415053,0.03324658071090679
2015-11-13,0.03979525409023124,0.03325321540392367
2015-11-16,0.040154365070642246,0.0332837364853314
2015-11-17,0.040137541208238134,0.033825697921817395
